pl_hostname,pl_orbeccen,st_mass,pl_bmassj,pl_orbsmax,st_spstr,st_dist,pl_pnum,st_rad,pl_radj,pl_orbper,st_vsini,pl_tranflag,pl_rvflag,ra,dec,pl_cbflag
HD 206610,0.1,1.55,2.036,1.74,K0 III,147.78,1,6.12,0.0,673.2,0.0,0,1,325.85376,-7.408253,0
HD 207832,0.197,1.05,0.56,0.586,G5 V,59.03,2,0.89,0.0,160.07,3.0,0,1,328.151184,-26.02656,0
HD 207832,0.27,1.05,0.73,2.112,G5 V,59.03,2,0.89,0.0,1155.7,3.0,0,1,328.151184,-26.02656,0
HD 208527,0.08,1.6,9.9,2.1,M1 III,314.48,1,51.1,0.0,875.5,3.6,0,1,329.099945,21.239859,0
HD 208487,0.24,1.13,0.52,0.524,G2 V,44.0,1,0.0,0.0,130.08,4.61,0,1,329.332703,-37.763622,0
HD 209458,0.0,1.23,0.73,0.0,F8,48.37,1,1.19,1.39,3.52474859,4.5,1,1,330.794891,18.884319,0
HD 210277,0.48,1.01,1.29,1.13,G8/K0 V,21.31,1,1.07,0.0,442.19,1.8,0,1,332.374451,-7.548654,0
HD 210702,0.028,1.61,1.808,1.148,K1 III,54.28,1,4.92,0.0,354.1,1.99,0,1,332.963867,16.04055,0
HD 212771,0.076,1.56,2.39,1.19,G8 IV,111.51,1,5.27,0.0,380.7,0.0,0,1,336.762787,-17.263659,0
iot Dra,0.7124,1.05,8.82,1.275,K2 III,31.67,1,0.0,0.0,511.098,0.0,0,1,231.232391,58.966064,0
HIP 78530,0.0,2.5,23.0,740.0,B9 V,156.7,1,0.0,0.0,0.0,0.0,0,0,240.481064,-21.980389,0
Kepler-18,0.0,0.97,0.022,0.0447,0,438.51,3,1.11,0.178,3.504725,4.0,1,1,298.079439,44.746321,0
Kepler-18,0.0,0.97,0.054,0.0752,0,438.51,3,1.11,0.49,7.64159,4.0,1,1,298.079439,44.746321,0
Kepler-18,0.0,0.97,0.052,0.1172,0,438.51,3,1.11,0.623,14.85888,4.0,1,1,298.079439,44.746321,0
Kepler-19,0.12,0.94,0.02643,0.0,0,219.95,3,0.86,0.0,9.28716,2.0,1,1,290.420839,37.851786,0
Kepler-19,0.21,0.94,0.04122,0.0,0,219.95,3,0.86,0.0,28.731,2.0,0,1,290.420839,37.851786,0
Kepler-20,0.03,0.95,0.03052,0.0463,0,284.88,6,0.96,0.167,3.69611525,2.0,1,1,287.698004,42.338726,0
Kepler-20,0.16,0.95,0.04012,0.0949,0,284.88,6,0.96,0.272,10.85409089,2.0,1,1,287.698004,42.338726,0
